"","value","param","species"
"270",5.32802076800726,"theta","dichotomius_satanas"
"271",5.12865205435082,"theta","dichotomius_satanas"
"272",5.98709179926664,"theta","dichotomius_satanas"
"273",4.80733282538131,"theta","dichotomius_satanas"
"274",5.71121133188717,"theta","dichotomius_satanas"
"275",5.93219799245708,"theta","dichotomius_satanas"
"276",5.98327149194665,"theta","dichotomius_satanas"
"277",3.64000268187374,"theta","dichotomius_satanas"
"278",5.58373242989182,"theta","dichotomius_satanas"
"279",5.28476710105315,"theta","dichotomius_satanas"
"280",5.7308790567331,"theta","dichotomius_satanas"
"281",5.26268364884891,"theta","dichotomius_satanas"
"282",5.30841613095254,"theta","dichotomius_satanas"
"283",4.2221564266365,"theta","dichotomius_satanas"
"284",5.08787147141993,"theta","dichotomius_satanas"
"285",5.65119734173641,"theta","dichotomius_satanas"
"286",5.00266026612371,"theta","dichotomius_satanas"
"287",5.26429040846415,"theta","dichotomius_satanas"
"288",5.64788761571981,"theta","dichotomius_satanas"
"289",5.85960181686096,"theta","dichotomius_satanas"
"290",5.78909096098505,"theta","dichotomius_satanas"
"291",5.93052297504619,"theta","dichotomius_satanas"
"292",4.63041903707199,"theta","dichotomius_satanas"
"293",5.72852272680029,"theta","dichotomius_satanas"
"294",5.40887407632545,"theta","dichotomius_satanas"
"295",5.19751147157513,"theta","dichotomius_satanas"
"296",4.95380088244565,"theta","dichotomius_satanas"
"297",5.92727552191354,"theta","dichotomius_satanas"
"298",5.60575221572071,"theta","dichotomius_satanas"
"299",4.86869418201968,"theta","dichotomius_satanas"
"300",5.80050167068839,"theta","dichotomius_satanas"
"301",5.25449434784241,"theta","dichotomius_satanas"
"302",5.9700976011809,"theta","dichotomius_satanas"
"303",5.74440389312804,"theta","dichotomius_satanas"
"304",5.5870083279442,"theta","dichotomius_satanas"
"305",5.26929152221419,"theta","dichotomius_satanas"
"306",4.97240835125558,"theta","dichotomius_satanas"
"307",5.67161986394785,"theta","dichotomius_satanas"
"308",5.48504250613041,"theta","dichotomius_satanas"
"309",5.00541246403009,"theta","dichotomius_satanas"
"310",5.29282607045025,"theta","dichotomius_satanas"
"311",5.8391584737692,"theta","dichotomius_satanas"
"312",4.83157304022461,"theta","dichotomius_satanas"
"313",5.34267755248584,"theta","dichotomius_satanas"
"314",4.82231456926093,"theta","dichotomius_satanas"
"315",5.42716732039116,"theta","dichotomius_satanas"
"316",4.84208277915604,"theta","dichotomius_satanas"
"317",5.62514595827088,"theta","dichotomius_satanas"
"318",5.73951265448704,"theta","dichotomius_satanas"
"319",5.74115323740989,"theta","dichotomius_satanas"
"320",5.68806143268012,"theta","dichotomius_satanas"
"321",5.51057065743953,"theta","dichotomius_satanas"
"322",5.64961368707009,"theta","dichotomius_satanas"
"323",5.96862306375988,"theta","dichotomius_satanas"
"324",5.53396584023722,"theta","dichotomius_satanas"
"325",5.23712598159909,"theta","dichotomius_satanas"
"326",5.34715834446251,"theta","dichotomius_satanas"
"327",4.99327074177563,"theta","dichotomius_satanas"
"328",5.63845886406489,"theta","dichotomius_satanas"
"329",5.18952279724181,"theta","dichotomius_satanas"
"330",5.59389080759138,"theta","dichotomius_satanas"
"331",5.32068616850302,"theta","dichotomius_satanas"
"332",5.37785233254544,"theta","dichotomius_satanas"
"333",5.68002950423397,"theta","dichotomius_satanas"
"334",5.92004176136106,"theta","dichotomius_satanas"
"335",5.85770497354679,"theta","dichotomius_satanas"
"336",5.98313914751634,"theta","dichotomius_satanas"
"337",5.51127982349135,"theta","dichotomius_satanas"
"338",5.89279222791083,"theta","dichotomius_satanas"
"339",5.47367923799902,"theta","dichotomius_satanas"
"340",5.4225781748537,"theta","dichotomius_satanas"
"341",5.37130187521689,"theta","dichotomius_satanas"
"342",5.70742383389734,"theta","dichotomius_satanas"
"343",5.86517475568689,"theta","dichotomius_satanas"
"344",5.38095526187681,"theta","dichotomius_satanas"
"345",4.93913768231869,"theta","dichotomius_satanas"
"346",4.78691937541589,"theta","dichotomius_satanas"
"347",4.90973760047927,"theta","dichotomius_satanas"
"348",5.64406592654996,"theta","dichotomius_satanas"
"349",5.05615841504186,"theta","dichotomius_satanas"
"350",5.51826181495562,"theta","dichotomius_satanas"
"351",5.10268240608275,"theta","dichotomius_satanas"
"352",5.68022925779223,"theta","dichotomius_satanas"
"353",5.76974322344176,"theta","dichotomius_satanas"
"354",5.64359844452702,"theta","dichotomius_satanas"
"355",4.60349051887169,"theta","dichotomius_satanas"
"356",5.1384097491391,"theta","dichotomius_satanas"
"357",4.86167263030075,"theta","dichotomius_satanas"
"358",5.38593989587389,"theta","dichotomius_satanas"
"359",4.44360220013186,"theta","dichotomius_satanas"
"360",5.5231976127252,"theta","dichotomius_satanas"
"361",5.54056371818297,"theta","dichotomius_satanas"
"362",5.81361897545867,"theta","dichotomius_satanas"
"363",5.2318732989952,"theta","dichotomius_satanas"
"364",5.99537206604145,"theta","dichotomius_satanas"
"365",5.81343265622854,"theta","dichotomius_satanas"
"366",3.72631261032075,"theta","dichotomius_satanas"
"367",5.02872384060174,"theta","dichotomius_satanas"
"368",5.8777443729341,"theta","dichotomius_satanas"
"369",5.74905426148325,"theta","dichotomius_satanas"
"370",5.91517266607843,"theta","dichotomius_satanas"
"371",5.733952046372,"theta","dichotomius_satanas"
"372",4.94230017787777,"theta","dichotomius_satanas"
"373",4.56564168352634,"theta","dichotomius_satanas"
"374",5.54943962860852,"theta","dichotomius_satanas"
"375",4.79507339675911,"theta","dichotomius_satanas"
"376",5.83399675693363,"theta","dichotomius_satanas"
"377",5.67365919728763,"theta","dichotomius_satanas"
"378",5.39907355234027,"theta","dichotomius_satanas"
"379",5.56390770850703,"theta","dichotomius_satanas"
"380",4.97756729042158,"theta","dichotomius_satanas"
"381",5.53056420548819,"theta","dichotomius_satanas"
"382",4.09869289281778,"theta","dichotomius_satanas"
"383",5.87617411534302,"theta","dichotomius_satanas"
"384",5.77078362950124,"theta","dichotomius_satanas"
"385",5.52019182499498,"theta","dichotomius_satanas"
"386",5.87605627859011,"theta","dichotomius_satanas"
"387",5.46121129323728,"theta","dichotomius_satanas"
"388",5.93123351014219,"theta","dichotomius_satanas"
"389",5.17055236175656,"theta","dichotomius_satanas"
"390",4.76523835700937,"theta","dichotomius_satanas"
"391",5.56211849697866,"theta","dichotomius_satanas"
"392",5.43489402299747,"theta","dichotomius_satanas"
"393",4.57431334094144,"theta","dichotomius_satanas"
"394",4.87175273965113,"theta","dichotomius_satanas"
"395",5.94597642216831,"theta","dichotomius_satanas"
"396",5.35070913867094,"theta","dichotomius_satanas"
"397",5.44870562525466,"theta","dichotomius_satanas"
"398",5.96188741875812,"theta","dichotomius_satanas"
